,Titre,Description,URL,Vrai_ou_Faux,Date_Publication,Date_Maj,Auteurs,Site
1129,Politique : Des faux calculs sur le coût du gouvernement et des parlementaires circulent sur Facebook,"Des internautes se sont penchés sur les salaires et les indemnités du président de la république, du gouvernement ainsi que des députés et des sénateurs. Ce document, devenu viral sur Facebook, comporte de nombreuses erreurs…",https://www.20minutes.fr/politique/2399747-20181221-politique-faux-calculs-cout-gouvernement-parlementaires-circulent-facebook,Faux,le 21/12/18 à 10h45,le 21/12/18 à 10h45,Mathilde Cousin et Alexis Orsini,20minutes
1130,Peut-on démanteler un rond-point de «gilets jaunes» doté d'une boîte aux lettres?,"Des « gilets jaunes » ont installé une boîte aux lettres sur le rond-point qu'ils occupent, dans l'espoir qu'elle les protège légalement contre une expulsion...",https://www.20minutes.fr/societe/2400907-20181220-peut-demanteler-rond-point-gilets-jaunes-dote-boite-lettres,,le 20/12/18 à 17h35,le 20/12/18 à 17h35,Alexis Orsini,20minutes
1131,"Non, François Hollande n'a pas remis en question la réalité de la menace terroriste",Une (vieille) interview de François Hollande devenue virale laisse penser qu'il remet en question la réalité de la menace terroriste actuelle...,https://www.20minutes.fr/politique/2398627-20181218-non-francois-hollande-remis-question-realite-menace-terroriste,Faux,le 18/12/18 à 17h58,le 18/12/18 à 17h58,Alexis Orsini,20minutes
1132,Une prime de Noël de 8.000 euros pour les sénateurs? C'est faux,Un site s’insurge contre la prétendue prime de Noël de 8.000 euros que toucheraient les sénateurs…,https://www.20minutes.fr/politique/2398283-20181218-prime-noel-8000-euros-senateurs-faux,Faux,le 18/12/18 à 12h22,le 18/12/18 à 12h46,Alexis Orsini,20minutes
1133,La loi «Pompidou-Giscard-Rothschild» est-elle à l’origine de la dette française?,Une intox qui circule depuis des années sur la dette française connaît un regain de visibilité à l'occasion de la mobilisation des « gilets jaunes »...,https://www.20minutes.fr/economie/2393143-20181218-loi-pompidou-giscard-rothschild-origine-dette-francaise,,le 18/12/18 à 11h48,le 18/12/18 à 17h37,Alexis Orsini,20minutes
1134,«Gilets jaunes»: Christophe Castaner s'en prend aux «fake news» véhiculées depuis le début du mouvement,"« J’ai en tête ces messages où il fallait empêcher le président de la République de partir parce qu’il allait vendre la France à un pays étranger », a notamment expliqué le ministre…",https://www.20minutes.fr/politique/2397823-20181217-gilets-jaunes-christophe-castaner-prend-fake-news-vehiculees-depuis-debut-mouvement,,le 17/12/18 à 19h39,le 17/12/18 à 19h49,20 Minutes avec AFP,20minutes
1135,Les Restos du cœur ont-ils refusé de la nourriture offerte par des «gilets jaunes»?,Un post Facebook massivement partagé affirme qu'un local des Restos du coeur a refusé la nourriture donnée par des « gilets jaunes »...,https://www.20minutes.fr/societe/2397563-20181217-restos-ur-refuse-nourriture-offerte-gilets-jaunes,,le 17/12/18 à 17h17,le 17/12/18 à 17h19,Alexis Orsini,20minutes
1136,"«Gilets jaunes»: Non, un manifestant n'est pas mort des suites de ses blessures au Puy-en-Velay",La police et un directeur d'hôpital ont démenti la rumeur...,https://www.20minutes.fr/societe/2396395-20181215-gilets-jaunes-non-manifestant-mort-suites-blessures-puy-velay,Faux,le 15/12/18 à 16h20,le 15/12/18 à 16h20,M.Co.,20minutes
1137,"Faux coup de gueule, impact de l'ISF, Téléthon... Attention aux intox de la semaine",Soyez forts contre les fausses nouvelles...,https://www.20minutes.fr/societe/2395495-20181215-faux-coup-gueule-impact-isf-telethon-attention-intox-semaine,Faux,le 15/12/18 à 10h05,le 15/12/18 à 10h05,Mathilde Cousin,20minutes
1138,«Gilets jaunes»: Ces œuvres d'art en hommage au mouvement sont-elles authentiques?,"Des internautes ont partagé des images d’une fresque représentant des « gilets jaunes », ainsi qu’une photo d’un rond-point sur lequel a été dressée une statue en forme de gilet jaune. Ces œuvres ont été érigées aux Etats-Unis et en Alsace…",https://www.20minutes.fr/societe/2395395-20181214-gilets-jaunes-uvres-art-hommage-mouvement-elles-authentiques,,le 14/12/18 à 19h02,le 14/12/18 à 19h02,Mathilde Cousin,20minutes
1139,"Non, cette photo ne montre pas des Beagles dans un laboratoire financé par le Téléthon",Une photo virale sur Facebook sortie de son contexte prétend montrer des Beagles victimes de tests scientifiques du Téléthon...,https://www.20minutes.fr/societe/2394827-20181213-non-photo-montre-beagles-laboratoire-finance-telethon,Faux,le 13/12/18 à 17h59,le 13/12/18 à 17h59,Alexis Orsini,20minutes
1140,"Constitution, «pacte de Marrakech», conseil de Genève: Les intox qui polluent le mouvement des «gilets jaunes»","Depuis plusieurs semaines, des théories obscures et parfois farfelues pullulent sur les réseaux sociaux, semant la confusion…",https://www.20minutes.fr/societe/2394607-20181213-video-constitution-pacte-marrakech-conseil-geneve-intox-polluent-mouvement-gilets-jaunes,,le 13/12/18 à 17h11,le 26/06/20 à 11h26,Mathilde Cousin et Emilie Petit,20minutes
1141,"«Gilets jaunes»: Non, les 100 euros supplémentaires ne vont pas rendre les Smicards imposables","La hausse de 100 euros du SMIC annoncée par Emmanuel Macron a donné lieu à un faux calcul, largement partagé sur Facebook...",https://www.20minutes.fr/economie/2394647-20181213-gilets-jaunes-non-100-euros-supplementaires-vont-rendre-smicards-imposables,Faux,le 13/12/18 à 14h59,le 13/12/18 à 15h01,Mathilde Cousin,20minutes
1142,"Impôts: L'ISF a-t-il vraiment fait partir les plus riches, comme le soutient Emmanuel Macron?","Lundi, le président de la République a expliqué que « les plus riches partaient et notre pays s'affaiblissait » pendant les années où l'ISF était prélevé. L'impact de ces expatriations est difficilement mesurable...",https://www.20minutes.fr/economie/2392659-20181212-impots-isf-vraiment-fait-partir-plus-riches-comme-soutient-emmanuel-macron,,le 12/12/18 à 19h23,le 12/12/18 à 19h23,Mathilde Cousin,20minutes
1143,"Attentat, situation de crise: Les réflexes à adopter contre les intox","« 20 Minutes » vous rappelle les réflexes à avoir pour éviter d'être submergé par les intox (ou d'en relayer) lors d'une situation de crise, comme un attentat...",https://www.20minutes.fr/high-tech/2393947-20181212-attentat-situation-crise-reflexes-adopter-contre-intox,,le 12/12/18 à 17h46,le 07/01/19 à 12h15,Alexis Orsini,20minutes
1144,"VIDEO. Attentat à Strasbourg: Photo hors contexte, tweet détourné… Attention aux intox","Des internautes partagent des captures d’écran qui montreraient que des médias et des organisations officielles auraient posté des informations sur l’attentat de Strasbourg avant qu’il n’ait eu lieu. En réalité, ces informations ont bien été postées après la fusillade…",https://www.20minutes.fr/societe/2393551-20181212-video-attentat-strasbourg-photo-hors-contexte-tweet-detourne-attention-intox,Faux,le 12/12/18 à 13h33,le 12/12/18 à 19h39,Mathilde Cousin,20minutes
1145,«Gilets jaunes»: Le petit bricolage du gouvernement autour de la hausse du Smic,La plus grande partie de l’augmentation viendra de la prime d’activité…,https://www.20minutes.fr/economie/2392943-20181211-gilets-jaunes-petit-bricolage-gouvernement-autour-hausse-smic,,le 11/12/18 à 17h33,le 11/12/18 à 17h33,Nicolas Raffin,20minutes
1146,"Non, Marlène Schiappa ne s'est pas demandé «comment vivre décemment avec 5.000 euros par mois»","Marlène Schiappa se voit attribuer, sur un photomontage, une citation parodique sur la prétendue difficulté de vivre « décemment » avec 5.000 euros par mois... ",https://www.20minutes.fr/politique/2392835-20181211-non-marlene-schiappa-demande-comment-vivre-decemment-5000-euros-mois,Faux,le 11/12/18 à 14h39,le 11/12/18 à 14h39,Alexis Orsini,20minutes
1147,"Non, le «Conseil de Genève des droits de l’homme et de la justice» n'a rien à voir avec le Conseil des droits de l'Homme de l'ONU","Le 25 novembre, cet organisme a appelé « le gouvernement français à répondre aux demandes des gilets jaunes ». Ce mystérieux conseil n’a rien d’officiel et son organisation est opaque…",https://www.20minutes.fr/societe/2392607-20181211-non-conseil-geneve-droits-homme-justice-rien-voir-conseil-droits-homme-onu,Faux,le 11/12/18 à 11h24,le 11/12/18 à 12h10,Mathilde Cousin,20minutes
1148,"Avoir un gilet jaune dans sa voiture, est-ce un délit?","Des internautes sont convaincus, à la lecture d'une convocation devant un tribunal correctionnel, que posséder un gilet jaune à bord de son véhicule constitue un délit...",https://www.20minutes.fr/justice/2392007-20181210-avoir-gilet-jaune-voiture-delit,,le 10/12/18 à 17h10,le 10/12/18 à 19h12,Alexis Orsini,20minutes
